States,Districts,Blood Sugar Level (age 18 years and above) (%) - Blood Sugar Level >140 mg/dl (high),Blood Sugar Level (age 18 years and above) (%) - Blood Sugar Level >160 mg/dl (very high)
Andaman and Nicobar Islands,Total,15.3,8.3
Andaman and Nicobar Islands,North & Middle Andamans,13,6.1
Andaman and Nicobar Islands,South Andaman,16.4,9.6
Andaman and Nicobar Islands,Nicobars,15,7.2
Andhra Pradesh,Total,8.2,5
Andhra Pradesh,Srikakulam,10.1,5.8
Andhra Pradesh,Vizianagaram,5.3,3.3
Andhra Pradesh,Visakhapatnam,6.7,3.8
Andhra Pradesh,East Godavari,8.6,5.5
Andhra Pradesh,West Godavari,15.1,8.9
Andhra Pradesh,Krishna,6.7,4.3
Andhra Pradesh,Guntur,7.7,5
Andhra Pradesh,Prakasam,11.4,7
Andhra Pradesh,Nellore,10.7,6.6
Andhra Pradesh,Cuddapah,7.4,4.2
Andhra Pradesh,Kurnool,7.5,4.7
Andhra Pradesh,Anantapur,7.5,4.9
Andhra Pradesh,Chittoor,9.6,5.9
Arunachal Pradesh,Total,8.7,3
Arunachal Pradesh,Tawang,8.3,2.6
Arunachal Pradesh,West Kameng,8.6,2.5
Arunachal Pradesh,East Kameng,8.8,2.3
Arunachal Pradesh,Papumpare,10.3,3.8
Arunachal Pradesh,Lower Subansiri,12.1,4.2
Arunachal Pradesh,Upper Subansiri,5,1.4
Arunachal Pradesh,West Siang,12.3,4.5
Arunachal Pradesh,East Siang,9.4,3.6
Arunachal Pradesh,Upper Siang,7.4,2.3
Arunachal Pradesh,Dibang Valley,3.7,1
Arunachal Pradesh,Lohit,8.4,3.9
Arunachal Pradesh,Changlang,9.8,5
Arunachal Pradesh,Tirap,11,3.7
Arunachal Pradesh,Kurung Kumey,8.9,2.6
Arunachal Pradesh,Lower Dibang Valley,8.6,3.7
Arunachal Pradesh,Anjaw,7.2,1.4
Chandigarh,Total,10.3,4.8
Goa,Total,16.9,9.4
Goa,North Goa,15.1,8.1
Goa,South Goa,18.9,10.6
Haryana,Total,14.2,6
Haryana,Panchukala,10.8,4.8
Haryana,Ambala ,10.9,5.3
Haryana,Yamunanagar,10.4,5.3
Haryana,Kuruksherta,16.8,5.7
Haryana,kaithal,11.2,4.5
Haryana,Karnal,11.2,4.2
Haryana,Panipat,11.7,5.8
Haryana,Sonipat,14,7.4
Haryana,Jind,13.9,4.2
Haryana,Fatehabad,16.7,8.5
Haryana,Sirsa,18.3,8.6
Haryana,Hisar,17.2,7.5
Haryana,Bhiwani,17.1,8
Haryana,Rohtak,15.5,8.2
Haryana,Jhajjar,15.6,6.7
Haryana,Mahendragarh,18,7.9
Haryana,Rewari,15.7,4.1
Haryana,Gurgaon,12.4,5
Haryana,Faridabad,14,5.7
Haryana,Mewat,14.8,4.8
Haryana,Palwal,19.6,8.7
Himachal Pradesh,Total,16.6,7
Himachal Pradesh,Chamba,13.1,4.8
Himachal Pradesh,Kangra,14.5,6.9
Himachal Pradesh,Lahul & Spiti,16.1,7.2
Himachal Pradesh,Kullu,15,7
Himachal Pradesh,Mandi,11.5,4.6
Himachal Pradesh,Hamirpur,11.5,4.6
Himachal Pradesh,Una,25,8.3
Himachal Pradesh,Bilaspur,19.3,8.3
Himachal Pradesh,Solan,19.3,7.8
Himachal Pradesh,Sirmaur,15.4,6.3
Himachal Pradesh,Shimla,11.7,5.3
Himachal Pradesh,Kinnaur,16,5.3
Karnataka,Total,9.9,5.7
Karnataka,Belgaum,3.7,2.7
Karnataka,Bagalkot,10.2,5.8
Karnataka,Bijapur,4.7,2.7
Karnataka,Gulbarga,6,3.3
Karnataka,Bidar,7.2,3.7
Karnataka,Raichur,8.4,4.3
Karnataka,Koppal,6.8,3.5
Karnataka,Gadag,7.1,4.2
Karnataka,Dharwad,7.9,5.5
Karnataka,Uttara kannada,9.6,5
Karnataka,Haveri,6.4,4.1
Karnataka,Bellary,9.9,5.9
Karnataka,Chitradurga,9.3,6.3
Karnataka,Devangere,10.6,6.9
Karnataka,Shimoga,11.4,6.4
Karnataka,Udupi,10.3,5.2
Karnataka,Chickmanglur,11.6,6.9
Karnataka,Tumkur,8.9,5.8
Karnataka,Kolar,14.6,9
Karnataka,Banglore,17.2,10.5
Karnataka,Banglore Rural,15.4,9.4
Karnataka,Mandya,13.1,8.3
Karnataka,Hassan,9.9,4.8
Karnataka,Dakshina Kannada,13.2,7.5
Karnataka,Kodagu,14.9,9
Karnataka,Mysore,12.7,7.2
Karnataka,Chamaranjangar,9.6,4.9
Karnataka,Ramanagara,19.6,12.1
Karnataka,Chikkaballarpura,13.3,7.6
Karnataka,Yadgir,8.9,4
Kerala,Total,24.7,13.5
Kerala,Kasaragod,31.2,13.3
Kerala,Kannur,39.8,20.6
Kerala,Wayanad,20.2,9.3
Kerala,Kozhikode,25.3,14.1
Kerala,Malappuram,14,7.1
Kerala,Palakkad,4.4,0.4
Kerala,Thrissur,27.6,17.1
Kerala,Ernakulam,26.6,15.3
Kerala,Idukki,25.5,12.4
Kerala,Kottayam,32,20.1
Kerala,Alappuzha,24.7,15.5
Kerala,Pathanamthitta,13,3.5
Kerala,Kollam,29.9,19.3
Kerala,Thiruvananthapuram,31.3,20.3
Maharashtra,Total,12.8,6.3
Maharashtra,Nandurbar,12.7,5.6
Maharashtra,Dhule,10.8,4.9
Maharashtra,Jalgaon,14.1,7.6
Maharashtra,Buldana,10.2,4.9
Maharashtra,Akola,7.8,3.6
Maharashtra,Washim,8.8,3
Maharashtra,Amravati,7.3,3.6
Maharashtra,Wardha,11.6,5.5
Maharashtra,Nagpur,14.1,7.4
Maharashtra,Bhandara,12.9,7
Maharashtra,Gondiya,14.3,7.1
Maharashtra,Gadchiroli,7.9,3.6
Maharashtra,Chandrapur,9.7,4.5
Maharashtra,Yavatmal,7.2,3.4
Maharashtra,Nanded,15.8,7.4
Maharashtra,Hingoli,12.8,5.6
Maharashtra,Parbhani,12.3,5.7
Maharashtra,Jalna,10.3,4.4
Maharashtra,Aurangabad,13.5,7
Maharashtra,Nashik,10.4,5.1
Maharashtra,Thane,19.8,10.4
Maharashtra,Mumbai (Suburban),17.4,8.9
Maharashtra,Mumbai ,16.5,7.8
Maharashtra,Raigarh,11.5,5.8
Maharashtra,Pune,11.2,6.2
Maharashtra,Ahmadnagar,17.6,8.1
Maharashtra,Bid,13.1,5.4
Maharashtra,Latur,13.9,6.6
Maharashtra,Osmanabad,12.8,6.8
Maharashtra,Solapur,13.2,6.5
Maharashtra,Satara,15.3,7.6
Maharashtra,Ratnagiri,16.7,9.7
Maharashtra,Sindhudurg,22.6,12
Maharashtra,Kolhapur,17.2,9.4
Maharashtra,Sangli,16.9,8.9
Manipur,Total,8.1,4
Manipur,Senapati,9.2,4.4
Manipur,Tamenglong,4.7,2.1
Manipur,Churachandpur,8.1,3
Manipur,Bishnupur,8.5,4.4
Manipur,Thoubal,8.4,4.4
Manipur,Imphal West  ,7.1,4.1
Manipur,Imphal East  ,10.3,5.2
Manipur,Ukhrul,8.2,3.6
Manipur,Chandel,6.8,3
Meghalaya,Total,13.4,5.1
Meghalaya,West Garo Hills,19,8.3
Meghalaya,East Garo Hills,19.6,7.4
Meghalaya,South Garo Hills,10.7,3.2
Meghalaya,West Khasi Hills,9.5,2.7
Meghalaya,Ri Bhoi,14.8,6.1
Meghalaya,East Khasi Hills,10.7,4.3
Meghalaya,Jaintia Hills,9.7,3.1
Mizoram,Total,8.4,4.1
Mizoram,Mamit,6,2.4
Mizoram,Kolasib,11.4,5.8
Mizoram,Aizawl,8.9,4.7
Mizoram,Champhai,7,3.2
Mizoram,Serchhip,14.4,7.4
Mizoram,Lunglei,4.6,2.4
Mizoram,Lawngtlai,9,4.2
Mizoram,Saiha,5.1,1.9
Nagaland,Total,11.6,5
Nagaland,Mon,7.8,2.8
Nagaland,Tuensang,3.5,1.2
Nagaland,Mokokchung,13.2,6.7
Nagaland,Zunheboto,14.2,5.7
Nagaland,Wokha,15.1,6.6
Nagaland,Dimapur,10.6,5.5
Nagaland,Kohima,11.6,5.4
Nagaland,Phek,15.2,6.9
Nagaland,Kiphire,10.5,3.3
Nagaland,Longleng,11.8,4
Nagaland,Paren,15,7.3
Pudducherry,Total,14.3,8.6
Pudducherry,Yanam,13.9,8.8
Pudducherry,Pondicherry,12.3,7.4
Pudducherry,Mahe,15.5,9.1
Pudducherry,Karaikal,16.8,9.9
Punjab,Total,14.1,7.1
Punjab,Gurdaspur,13.4,5
Punjab, Amritsar,16.4,8.2
Punjab,Kapurthala,11.8,5.9
Punjab, Jalandhar,15.1,6.6
Punjab,Hoshiarpur,17.3,8.5
Punjab,Shahid Bhagat Singh Nagar,16.4,9.3
Punjab,Rupnagar,14.8,7.8
Punjab,Fatehgarh Sahib,12.6,6.9
Punjab,Ludhiana,13.8,7.6
Punjab,Moga,15.9,9
Punjab,Firozpur,15.3,8.6
Punjab,Muktsar,12.6,6.2
Punjab,Faridkot,15.4,8
Punjab,Bhathinda,15.7,8
Punjab,Mansa,14.5,7.2
Punjab,Sangrur,13.9,7.1
Punjab,Patiala,11.5,6
Punjab,SAS Nagar,13.4,6
Punjab,Barnala,12.7,6.1
Punjab,Taran Taran,11.6,5.1
Sikkim,Total,15.7,7.4
Sikkim,North,13.9,5.2
Sikkim,West,16.7,7.6
Sikkim,South,20.1,9.5
Sikkim,East,13.7,7.3
Tamil Nadu,Total,13,8
Tamil Nadu,Thiruvallur ,11.7,7.4
Tamil Nadu,Chennai ,15,9.8
Tamil Nadu,Khancheepuram ,12.6,7.2
Tamil Nadu,Vellore ,11.2,7.3
Tamil Nadu,Dharmapuri ,10,6.3
Tamil Nadu,Tiruvannamalai ,10.8,6.5
Tamil Nadu,Viluppuram ,11.2,6.7
Tamil Nadu,Salem ,11.3,7.5
Tamil Nadu,Namakkal ,12,7.4
Tamil Nadu,Erode ,12.1,6.7
Tamil Nadu,Nilgiris ,11.3,5.9
Tamil Nadu,Coimbatore ,12.5,7.1
Tamil Nadu,Dindigul ,16,9.6
Tamil Nadu,Karur ,11.3,6.7
Tamil Nadu,Tiruchirappalli ,12.4,6.9
Tamil Nadu,Perambalur ,12.2,7.2
Tamil Nadu,Ariyalur ,12.2,7.5
Tamil Nadu,Cuddalore ,12.3,7.4
Tamil Nadu,Nagapattinam ,16.5,10.4
Tamil Nadu,Thiruvarur ,14.4,8.8
Tamil Nadu,Thanjavur ,13.2,8.3
Tamil Nadu,Pudukkottai,14.9,8.8
Tamil Nadu,Sivaganga,12.7,8.4
Tamil Nadu,Madurai,19.1,10.5
Tamil Nadu,Theni,13.3,8.7
Tamil Nadu,Virudhunagar,12.2,7.8
Tamil Nadu,Ramanathapuram ,14,9
Tamil Nadu,Thoothukkudi ,11.6,7.4
Tamil Nadu,Thirunelveli ,17.3,10.6
Tamil Nadu,Kanniyakumari ,17.1,11.5
Tamil Nadu,Krishnagiri ,10.8,6.3
Tamil Nadu,Tiruppur ,13.3,7.5
Telangana,Total,6.3,3.4
Telangana,Adilabad,5.7,2.6
Telangana,Nizamabad,7.4,4.2
Telangana,Karimnagar,6.5,4.6
Telangana,Medak,5,2.3
Telangana,Hyderabad,6.4,3.9
Telangana,Rangareddi,7.2,4
Telangana,Mahbubnagar,6.8,4
Telangana,Nalgonda,6.8,3.8
Telangana,Warangal,6.2,3.3
Telangana,Khammam,7.6,4.1
Tripura,Total,5.6,2.6
Tripura,West Tripura,6.7,3.2
Tripura,South Tripura,6.6,2.6
Tripura,Dhalai,4.8,2.2
Tripura,North Tripura,4,2.2
West Bengal,Total,15.7,7.8
West Bengal,Darjeeling,17.1,9.1
West Bengal,Jalpaiguri,19.4,8.7
West Bengal,Koch Bihar,18.7,8.4
West Bengal,Uttar Dinajpur,19.8,9.9
West Bengal,Dakhin Dinajpur,17.3,8.7
West Bengal,Maldah,17,8.8
West Bengal,Murshidabad,17.6,7.4
West Bengal,Birbhum,15.4,8.6
West Bengal,Barddhaman,15.8,8.3
West Bengal,Nadia,13.2,6
West Bengal,North 24 parganas,16,8.9
West Bengal,Hugli,14.5,7.9
West Bengal,Bankura,13.6,6.5
West Bengal,Puruliya,18.9,9
West Bengal,Paschim Medinipur,17.6,9.2
West Bengal,Haora,15,8.8
West Bengal,Kolkata,23.3,15.3
West Bengal,South 24 Parganas,18.2,9.6
West Bengal,Purba Medinipur,10.5,6.9
